qualifying_groups,match_74,match_77,match_79,match_80,match_81,match_82,match_85,match_87
BCEFHJKL,3C,3F,3E,3K,3B,3H,3J,3L
BCEFHIKL,3C,3F,3E,3K,3B,3H,3I,3L
BCEFHIJL,3C,3F,3E,3I,3B,3H,3J,3L
BCEFHIJK,3C,3F,3E,3K,3B,3H,3J,3I
BCEFGJKL,3C,3F,3E,3K,3B,3J,3G,3L
BCEFGIKL,3C,3F,3E,3K,3B,3I,3G,3L
BCEFGIJL,3C,3F,3E,3I,3B,3J,3G,3L
BCEFGIJK,3C,3F,3E,3K,3B,3J,3G,3I
BCEFGHKL,3C,3F,3E,3K,3B,3H,3G,3L
BCEFGHJL,3C,3F,3H,3E,3B,3J,3G,3L
BCEFGHJK,3C,3F,3H,3K,3B,3J,3G,3E
BCEFGHIL,3C,3F,3E,3I,3B,3H,3G,3L
BCEFGHIK,3C,3F,3E,3K,3B,3H,3G,3I
BCEFGHIJ,3C,3F,3H,3I,3B,3J,3G,3E
BCDHIJKL,3C,3D,3H,3K,3B,3I,3J,3L
BCDGIJKL,3C,3D,3I,3K,3B,3J,3G,3L
BCDGHJKL,3C,3D,3H,3K,3B,3J,3G,3L
BCDGHIKL,3C,3D,3H,3K,3B,3I,3G,3L
BCDGHIJL,3C,3D,3H,3I,3B,3J,3G,3L
BCDGHIJK,3C,3D,3H,3K,3B,3J,3G,3I
BCDFIJKL,3D,3F,3C,3K,3B,3I,3J,3L
BCDFHJKL,3D,3F,3C,3K,3B,3H,3J,3L
BCDFHIKL,3D,3F,3C,3K,3B,3H,3I,3L
BCDFHIJL,3D,3F,3C,3I,3B,3H,3J,3L
BCDFHIJK,3D,3F,3C,3K,3B,3H,3J,3I
BCDFGJKL,3D,3F,3C,3K,3B,3J,3G,3L
BCDFGIKL,3D,3F,3C,3K,3B,3I,3G,3L
BCDFGIJL,3D,3F,3C,3I,3B,3J,3G,3L
BCDFGIJK,3D,3F,3C,3K,3B,3J,3G,3I
BCDFGHKL,3D,3F,3C,3K,3B,3H,3G,3L
BCDFGHJL,3D,3F,3C,3J,3B,3H,3G,3L
BCDFGHJK,3C,3F,3H,3K,3B,3J,3G,3D
BCDFGHIL,3D,3F,3C,3I,3B,3H,3G,3L
BCDFGHIK,3D,3F,3C,3K,3B,3H,3G,3I
BCDFGHIJ,3C,3F,3H,3I,3B,3J,3G,3D
BCDEIJKL,3C,3D,3E,3K,3B,3I,3J,3L
BCDEHJKL,3C,3D,3E,3K,3B,3H,3J,3L
BCDEHIKL,3C,3D,3E,3K,3B,3H,3I,3L
BCDEHIJL,3C,3D,3E,3I,3B,3H,3J,3L
BCDEHIJK,3C,3D,3E,3K,3B,3H,3J,3I
BCDEGJKL,3C,3D,3E,3K,3B,3J,3G,3L
BCDEGIKL,3C,3D,3E,3K,3B,3I,3G,3L
BCDEGIJL,3C,3D,3E,3I,3B,3J,3G,3L
BCDEGIJK,3C,3D,3E,3K,3B,3J,3G,3I
BCDEGHKL,3C,3D,3E,3K,3B,3H,3G,3L
BCDEGHJL,3C,3D,3H,3E,3B,3J,3G,3L
BCDEGHJK,3C,3D,3H,3K,3B,3J,3G,3E
BCDEGHIL,3C,3D,3E,3I,3B,3H,3G,3L
BCDEGHIK,3C,3D,3E,3K,3B,3H,3G,3I
BCDEGHIJ,3C,3D,3H,3I,3B,3J,3G,3E
BCDEFJKL,3D,3F,3C,3K,3B,3E,3J,3L
BCDEFIKL,3D,3F,3C,3K,3B,3I,3E,3L
BCDEFIJL,3D,3F,3C,3I,3B,3E,3J,3L
BCDEFIJK,3D,3F,3C,3K,3B,3E,3J,3I
BCDEFHKL,3D,3F,3C,3K,3B,3H,3E,3L
BCDEFHJL,3D,3F,3C,3E,3B,3H,3J,3L
BCDEFHJK,3D,3F,3C,3K,3B,3H,3J,3E
BCDEFHIL,3D,3F,3C,3I,3B,3H,3E,3L
BCDEFHIK,3D,3F,3C,3K,3B,3H,3E,3I
BCDEFHIJ,3D,3F,3C,3I,3B,3H,3J,3E
BCDEFGKL,3D,3F,3C,3K,3B,3E,3G,3L
BCDEFGJL,3D,3F,3C,3E,3B,3J,3G,3L
BCDEFGJK,3D,3F,3C,3K,3B,3J,3G,3E
BCDEFGIL,3D,3F,3C,3I,3B,3E,3G,3L
BCDEFGIK,3D,3F,3C,3K,3B,3E,3G,3I
BCDEFGIJ,3D,3F,3C,3I,3B,3J,3G,3E
BCDEFGHL,3D,3F,3C,3E,3B,3H,3G,3L
BCDEFGHK,3D,3F,3C,3K,3B,3H,3G,3E
BCDEFGHJ,3C,3F,3H,3E,3B,3J,3G,3D
BCDEFGHI,3D,3F,3C,3I,3B,3H,3G,3E
AFGHIJKL,3F,3G,3H,3K,3I,3A,3J,3L
AEGHIJKL,3A,3G,3E,3K,3I,3H,3J,3L
AEFHIJKL,3F,3H,3E,3K,3I,3A,3J,3L
AEFGIJKL,3F,3G,3E,3K,3I,3A,3J,3L
AEFGHJKL,3F,3H,3E,3K,3J,3A,3G,3L
AEFGHIKL,3F,3H,3E,3K,3I,3A,3G,3L
AEFGHIJL,3F,3H,3E,3I,3J,3A,3G,3L
AEFGHIJK,3F,3H,3E,3K,3J,3A,3G,3I
ADGHIJKL,3D,3G,3H,3K,3I,3A,3J,3L
ADFHIJKL,3D,3F,3H,3K,3I,3A,3J,3L
ADFGIJKL,3D,3F,3I,3K,3J,3A,3G,3L
ADFGHJKL,3D,3F,3H,3K,3J,3A,3G,3L
ADFGHIKL,3D,3F,3H,3K,3I,3A,3G,3L
ADFGHIJL,3D,3F,3H,3I,3J,3A,3G,3L
ADFGHIJK,3D,3F,3H,3K,3J,3A,3G,3I
ADEHIJKL,3D,3H,3E,3K,3I,3A,3J,3L
ADEGIJKL,3D,3G,3E,3K,3I,3A,3J,3L
ADEGHJKL,3D,3H,3E,3K,3J,3A,3G,3L
ADEGHIKL,3D,3H,3E,3K,3I,3A,3G,3L
ADEGHIJL,3D,3H,3E,3I,3J,3A,3G,3L
ADEGHIJK,3D,3H,3E,3K,3J,3A,3G,3I
ADEFIJKL,3D,3F,3E,3K,3I,3A,3J,3L
ADEFHJKL,3D,3F,3H,3K,3E,3A,3J,3L
ADEFHIKL,3D,3F,3H,3K,3I,3A,3E,3L
ADEFHIJL,3D,3F,3H,3I,3E,3A,3J,3L
ADEFHIJK,3D,3F,3H,3K,3E,3A,3J,3I
ADEFGJKL,3D,3F,3E,3K,3J,3A,3G,3L
ADEFGIKL,3D,3F,3E,3K,3I,3A,3G,3L
ADEFGIJL,3D,3F,3E,3I,3J,3A,3G,3L
ADEFGIJK,3D,3F,3E,3K,3J,3A,3G,3I
ADEFGHKL,3D,3F,3H,3K,3E,3A,3G,3L
ADEFGHJL,3D,3F,3H,3E,3J,3A,3G,3L
ADEFGHJK,3D,3F,3H,3K,3J,3A,3G,3E
ADEFGHIL,3D,3F,3H,3I,3E,3A,3G,3L
ADEFGHIK,3D,3F,3H,3K,3E,3A,3G,3I
ADEFGHIJ,3D,3F,3H,3I,3J,3A,3G,3E
ACGHIJKL,3C,3G,3H,3K,3I,3A,3J,3L
ACFHIJKL,3C,3F,3H,3K,3I,3A,3J,3L
ACFGIJKL,3C,3F,3I,3K,3J,3A,3G,3L
ACFGHJKL,3C,3F,3H,3K,3J,3A,3G,3L
ACFGHIKL,3C,3F,3H,3K,3I,3A,3G,3L
ACFGHIJL,3C,3F,3H,3I,3J,3A,3G,3L
ACFGHIJK,3C,3F,3H,3K,3J,3A,3G,3I
ACEHIJKL,3C,3H,3E,3K,3I,3A,3J,3L
ACEGIJKL,3C,3G,3E,3K,3I,3A,3J,3L
ACEGHJKL,3C,3H,3E,3K,3J,3A,3G,3L
ACEGHIKL,3C,3H,3E,3K,3I,3A,3G,3L
ACEGHIJL,3C,3H,3E,3I,3J,3A,3G,3L
ACEGHIJK,3C,3H,3E,3K,3J,3A,3G,3I
ACEFIJKL,3C,3F,3E,3K,3I,3A,3J,3L
ACEFHJKL,3C,3F,3H,3K,3E,3A,3J,3L
ACEFHIKL,3C,3F,3H,3K,3I,3A,3E,3L
ACEFHIJL,3C,3F,3H,3I,3E,3A,3J,3L
ACEFHIJK,3C,3F,3H,3K,3E,3A,3J,3I
ACEFGJKL,3C,3F,3E,3K,3J,3A,3G,3L
ACEFGIKL,3C,3F,3E,3K,3I,3A,3G,3L
ACEFGIJL,3C,3F,3E,3I,3J,3A,3G,3L
ACEFGIJK,3C,3F,3E,3K,3J,3A,3G,3I
ACEFGHKL,3C,3F,3H,3K,3E,3A,3G,3L
ACEFGHJL,3C,3F,3H,3E,3J,3A,3G,3L
ACEFGHJK,3C,3F,3H,3K,3J,3A,3G,3E
ACEFGHIL,3C,3F,3H,3I,3E,3A,3G,3L
ACEFGHIK,3C,3F,3H,3K,3E,3A,3G,3I
ACEFGHIJ,3C,3F,3H,3I,3J,3A,3G,3E
ACDHIJKL,3C,3D,3H,3K,3I,3A,3J,3L
ACDGIJKL,3C,3D,3I,3K,3J,3A,3G,3L
ACDGHJKL,3C,3D,3H,3K,3J,3A,3G,3L
ACDGHIKL,3C,3D,3H,3K,3I,3A,3G,3L
ACDGHIJL,3C,3D,3H,3I,3J,3A,3G,3L
ACDGHIJK,3C,3D,3H,3K,3J,3A,3G,3I
ACDFIJKL,3D,3F,3C,3K,3I,3A,3J,3L
ACDFHJKL,3C,3D,3H,3K,3F,3A,3J,3L
ACDFHIKL,3C,3D,3H,3K,3I,3A,3F,3L
ACDFHIJL,3C,3D,3H,3I,3F,3A,3J,3L
ACDFHIJK,3C,3D,3H,3K,3F,3A,3J,3I
ACDFGJKL,3D,3F,3C,3K,3J,3A,3G,3L
ACDFGIKL,3D,3F,3C,3K,3I,3A,3G,3L
ACDFGIJL,3D,3F,3C,3I,3J,3A,3G,3L
ACDFGIJK,3D,3F,3C,3K,3J,3A,3G,3I
ACDFGHKL,3C,3D,3H,3K,3F,3A,3G,3L
ACDFGHJL,3D,3F,3C,3H,3J,3A,3G,3L
ACDFGHJK,3C,3F,3H,3K,3J,3A,3G,3D
ACDFGHIL,3C,3D,3H,3I,3F,3A,3G,3L
ACDFGHIK,3C,3D,3H,3K,3F,3A,3G,3I
ACDFGHIJ,3C,3F,3H,3I,3J,3A,3G,3D
ACDEIJKL,3C,3D,3E,3K,3I,3A,3J,3L
ACDEHJKL,3C,3D,3H,3K,3E,3A,3J,3L
ACDEHIKL,3C,3D,3H,3K,3I,3A,3E,3L
ACDEHIJL,3C,3D,3H,3I,3E,3A,3J,3L
ACDEHIJK,3C,3D,3H,3K,3E,3A,3J,3I
ACDEGJKL,3C,3D,3E,3K,3J,3A,3G,3L
ACDEGIKL,3C,3D,3E,3K,3I,3A,3G,3L
ACDEGIJL,3C,3D,3E,3I,3J,3A,3G,3L
ACDEGIJK,3C,3D,3E,3K,3J,3A,3G,3I
ACDEGHKL,3C,3D,3H,3K,3E,3A,3G,3L
ACDEGHJL,3C,3D,3H,3E,3J,3A,3G,3L
ACDEGHJK,3C,3D,3H,3K,3J,3A,3G,3E
ACDEGHIL,3C,3D,3H,3I,3E,3A,3G,3L
ACDEGHIK,3C,3D,3H,3K,3E,3A,3G,3I
ACDEGHIJ,3C,3D,3H,3I,3J,3A,3G,3E
ACDEFJKL,3D,3F,3C,3K,3E,3A,3J,3L
ACDEFIKL,3D,3F,3C,3K,3I,3A,3E,3L
ACDEFIJL,3D,3F,3C,3I,3E,3A,3J,3L
ACDEFIJK,3D,3F,3C,3K,3E,3A,3J,3I
ACDEFHKL,3C,3D,3H,3K,3F,3A,3E,3L
ACDEFHJL,3C,3D,3H,3E,3F,3A,3J,3L
ACDEFHJK,3C,3F,3H,3K,3E,3A,3J,3D
ACDEFHIL,3C,3D,3H,3I,3F,3A,3E,3L
ACDEFHIK,3C,3D,3H,3K,3F,3A,3E,3I
ACDEFHIJ,3C,3F,3H,3I,3E,3A,3J,3D
ACDEFGKL,3D,3F,3C,3K,3E,3A,3G,3L
ACDEFGJL,3D,3F,3C,3E,3J,3A,3G,3L
ACDEFGJK,3D,3F,3C,3K,3J,3A,3G,3E
ACDEFGIL,3D,3F,3C,3I,3E,3A,3G,3L
ACDEFGIK,3D,3F,3C,3K,3E,3A,3G,3I
ACDEFGIJ,3D,3F,3C,3I,3J,3A,3G,3E
ACDEFGHL,3C,3D,3H,3E,3F,3A,3G,3L
ACDEFGHK,3C,3F,3H,3K,3E,3A,3G,3D
ACDEFGHJ,3C,3F,3H,3E,3J,3A,3G,3D
ACDEFGHI,3C,3F,3H,3I,3E,3A,3G,3D
ABGHIJKL,3A,3G,3H,3K,3B,3I,3J,3L
ABFHIJKL,3A,3F,3H,3K,3B,3I,3J,3L
ABFGIJKL,3F,3G,3I,3K,3B,3A,3J,3L
ABFGHJKL,3F,3G,3H,3K,3B,3A,3J,3L
ABFGHIKL,3A,3F,3H,3K,3B,3I,3G,3L
ABFGHIJL,3F,3G,3H,3I,3B,3A,3J,3L
ABFGHIJK,3F,3G,3H,3K,3B,3A,3J,3I
ABEHIJKL,3A,3H,3E,3K,3B,3I,3J,3L
ABEGIJKL,3A,3G,3E,3K,3B,3I,3J,3L
ABEGHJKL,3A,3G,3E,3K,3B,3H,3J,3L
ABEGHIKL,3A,3H,3E,3K,3B,3I,3G,3L
ABEGHIJL,3A,3G,3E,3I,3B,3H,3J,3L
ABEGHIJK,3A,3G,3E,3K,3B,3H,3J,3I
ABEFIJKL,3A,3F,3E,3K,3B,3I,3J,3L
ABEFHJKL,3F,3H,3E,3K,3B,3A,3J,3L
ABEFHIKL,3F,3H,3E,3K,3B,3A,3I,3L
ABEFHIJL,3F,3H,3E,3I,3B,3A,3J,3L
ABEFHIJK,3F,3H,3E,3K,3B,3A,3J,3I
ABEFGJKL,3F,3G,3E,3K,3B,3A,3J,3L
ABEFGIKL,3A,3F,3E,3K,3B,3I,3G,3L
ABEFGIJL,3F,3G,3E,3I,3B,3A,3J,3L
ABEFGIJK,3F,3G,3E,3K,3B,3A,3J,3I
ABEFGHKL,3F,3H,3E,3K,3B,3A,3G,3L
ABEFGHJL,3F,3G,3H,3E,3B,3A,3J,3L
ABEFGHJK,3F,3G,3H,3K,3B,3A,3J,3E
