qualifying_groups,match_74,match_77,match_79,match_80,match_81,match_82,match_85,match_87
ABCEFGJL,3C,3F,3E,3J,3B,3A,3G,3L
ABCEFGJK,3C,3F,3E,3K,3B,3A,3G,3J
ABCEFGIL,3C,3F,3E,3I,3B,3A,3G,3L
ABCEFGIK,3C,3F,3E,3K,3B,3A,3G,3I
ABCEFGIJ,3C,3F,3E,3J,3B,3A,3G,3I
ABCEFGHL,3C,3F,3H,3E,3B,3A,3G,3L
ABCEFGHK,3C,3F,3H,3K,3B,3A,3G,3E
ABCEFGHJ,3C,3F,3H,3J,3B,3A,3G,3E
ABCEFGHI,3C,3F,3H,3I,3B,3A,3G,3E
ABCDIJKL,3C,3D,3I,3K,3B,3A,3J,3L
ABCDHJKL,3C,3D,3H,3K,3B,3A,3J,3L
ABCDHIKL,3C,3D,3H,3K,3B,3A,3I,3L
ABCDHIJL,3C,3D,3H,3I,3B,3A,3J,3L
ABCDHIJK,3C,3D,3H,3K,3B,3A,3J,3I
ABCDGJKL,3D,3G,3C,3K,3B,3A,3J,3L
ABCDGIKL,3C,3D,3I,3K,3B,3A,3G,3L
ABCDGIJL,3D,3G,3C,3I,3B,3A,3J,3L
ABCDGIJK,3D,3G,3C,3K,3B,3A,3J,3I
ABCDGHKL,3C,3D,3H,3K,3B,3A,3G,3L
ABCDGHJL,3C,3D,3H,3J,3B,3A,3G,3L
ABCDGHJK,3C,3D,3H,3K,3B,3A,3G,3J
ABCDGHIL,3C,3D,3H,3I,3B,3A,3G,3L
ABCDGHIK,3C,3D,3H,3K,3B,3A,3G,3I
ABCDGHIJ,3C,3D,3H,3J,3B,3A,3G,3I
ABCDFJKL,3D,3F,3C,3K,3B,3A,3J,3L
ABCDFIKL,3D,3F,3C,3K,3B,3A,3I,3L
ABCDFIJL,3D,3F,3C,3I,3B,3A,3J,3L
ABCDFIJK,3D,3F,3C,3K,3B,3A,3J,3I
ABCDFHKL,3C,3D,3H,3K,3B,3A,3F,3L
ABCDFHJL,3D,3F,3C,3H,3B,3A,3J,3L
ABCDFHJK,3C,3F,3H,3K,3B,3A,3J,3D
ABCDFHIL,3C,3D,3H,3I,3B,3A,3F,3L
ABCDFHIK,3C,3D,3H,3K,3B,3A,3F,3I
ABCDFHIJ,3C,3F,3H,3I,3B,3A,3J,3D
ABCDFGKL,3D,3F,3C,3K,3B,3A,3G,3L
ABCDFGJL,3D,3F,3C,3J,3B,3A,3G,3L
ABCDFGJK,3D,3F,3C,3K,3B,3A,3G,3J
ABCDFGIL,3D,3F,3C,3I,3B,3A,3G,3L
ABCDFGIK,3D,3F,3C,3K,3B,3A,3G,3I
ABCDFGIJ,3D,3F,3C,3J,3B,3A,3G,3I
ABCDFGHL,3D,3F,3C,3H,3B,3A,3G,3L
ABCDFGHK,3C,3F,3H,3K,3B,3A,3G,3D
ABCDFGHJ,3C,3F,3H,3J,3B,3A,3G,3D
ABCDFGHI,3C,3F,3H,3I,3B,3A,3G,3D
ABCDEJKL,3C,3D,3E,3K,3B,3A,3J,3L
ABCDEIKL,3C,3D,3E,3K,3B,3A,3I,3L
ABCDEIJL,3C,3D,3E,3I,3B,3A,3J,3L
ABCDEIJK,3C,3D,3E,3K,3B,3A,3J,3I
ABCDEHKL,3C,3D,3H,3K,3B,3A,3E,3L
ABCDEHJL,3C,3D,3H,3E,3B,3A,3J,3L
ABCDEHJK,3C,3D,3H,3K,3B,3A,3J,3E
ABCDEHIL,3C,3D,3H,3I,3B,3A,3E,3L
ABCDEHIK,3C,3D,3H,3K,3B,3A,3E,3I
ABCDEHIJ,3C,3D,3H,3I,3B,3A,3J,3E
ABCDEGKL,3C,3D,3E,3K,3B,3A,3G,3L
ABCDEGJL,3C,3D,3E,3J,3B,3A,3G,3L
ABCDEGJK,3C,3D,3E,3K,3B,3A,3G,3J
ABCDEGIL,3C,3D,3E,3I,3B,3A,3G,3L
ABCDEGIK,3C,3D,3E,3K,3B,3A,3G,3I
ABCDEGIJ,3C,3D,3E,3J,3B,3A,3G,3I
ABCDEGHL,3C,3D,3H,3E,3B,3A,3G,3L
ABCDEGHK,3C,3D,3H,3K,3B,3A,3G,3E
ABCDEGHJ,3C,3D,3H,3J,3B,3A,3G,3E
ABCDEGHI,3C,3D,3H,3I,3B,3A,3G,3E
ABCDEFKL,3D,3F,3C,3K,3B,3A,3E,3L
ABCDEFJL,3D,3F,3C,3E,3B,3A,3J,3L
ABCDEFJK,3D,3F,3C,3K,3B,3A,3J,3E
ABCDEFIL,3D,3F,3C,3I,3B,3A,3E,3L
ABCDEFIK,3D,3F,3C,3K,3B,3A,3E,3I
ABCDEFIJ,3D,3F,3C,3I,3B,3A,3J,3E
ABCDEFHL,3C,3D,3H,3E,3B,3A,3F,3L
ABCDEFHK,3C,3F,3H,3K,3B,3A,3E,3D
ABCDEFHJ,3C,3F,3H,3E,3B,3A,3J,3D
ABCDEFHI,3C,3F,3H,3I,3B,3A,3E,3D
ABCDEFGL,3D,3F,3C,3E,3B,3A,3G,3L
ABCDEFGK,3D,3F,3C,3K,3B,3A,3G,3E
ABCDEFGJ,3D,3F,3C,3J,3B,3A,3G,3E
ABCDEFGI,3D,3F,3C,3I,3B,3A,3G,3E
ABCDEFGH,3C,3F,3H,3E,3B,3A,3G,3D
